"Time","VI","VTI","FB","PETO2","PETCO2"
788.74125,-6.410200119,-1.090629697,7.894736767,93.22200775,42.77887344
798.38375,-6.282113075,-1.030172586,6.222452641,91.98130035,43.67973709
809.03125,-9.58292675,-1.114813328,5.635125637,92.39487457,43.78699112
819.77625,-10.24799633,-1.716142416,5.583992481,95.28983307,42.30698776
828.16875,-10.34937,-1.43343842,7.149240494,99.01190948,41.68495941
837.89375,-7.954293728,-1.677460432,6.169665813,104.1814728,41.55626297
847.39375,-6.897705555,-1.259429812,6.3157897,104.1814728,43.18640518
857.25375,-7.648123264,-1.133522987,6.08519268,101.9068604,44.62350845
868.48875,-7.263977051,-1.432111025,5.340454102,101.9068604,44.96669388
878.93875,-7.246409893,-1.265142679,5.74162674,100.4593887,44.85944748
889.38125,-8.337506294,-1.261177301,5.745750427,100.0458298,44.21596909
899.82875,-7.986536503,-1.451768398,5.743000507,100.6661682,43.31510544
911.56125,-7.341379166,-1.561700702,5.113999367,100.4593887,42.58582687
921.62875,-7.770504475,-1.231822252,5.959771633,99.42547607,43.01481247
933.73625,-7.877507687,-1.568023086,4.955605984,98.18477631,42.67161942
944.58625,-9.029201508,-1.424515963,5.529953957,97.77121735,42.5000267
954.70125,-9.894491196,-1.522172928,5.93178463,96.94408417,42.09249496
963.87875,-5.127150059,-1.513444901,6.53772831,95.91017914,41.85655212
975.94875,-5.841630459,-1.031411648,4.971002579,91.36095428,43.9585762
988.34125,-9.107431412,-1.206540108,4.841638088,88.46601105,44.94524765
997.53875,-5.618685246,-1.396093369,6.523511887,88.87957001,44.02293015
1011.62375,-10.19262218,-1.318986297,4.259850979,89.49991608,44.47336197
1020.64875,-6.204541683,-1.533140182,6.648199558,92.60166168,43.20785141
1031.83375,-8.903865814,-1.15662992,5.364327431,92.18809509,43.76553726
1041.51125,-5.620565891,-1.436119437,6.199948311,94.87625885,42.8217659
1055.76375,-6.648961544,-1.335118532,4.209787846,93.4287796,43.76553726
1065.38125,NA,-1.065773129,6.238627434,92.39487457,44.58060837
1073.45125,NA,NA,7.434944153,100.2526093,40.76263809
1075.30125,-5.862114906,NA,NA,99.42547607,41.32032394
1086.19875,-8.085659027,-1.064706683,5.505849838,97.35765839,43.44379807
1093.25125,-5.265964508,-0.950401783,8.507621765,97.77121735,42.45713806
1104.88875,-7.971838474,-1.021377683,5.15574646,94.04912567,45.07394028
1115.10375,-7.685359478,-1.35720551,5.873714924,94.87625885,44.06583023
1122.52875,-6.657930851,-0.951063275,8.080807686,95.70339203,44.00148392
1132.01375,-8.571208954,-1.052507877,6.325777531,95.28983307,44.43046188
1141.07875,-6.867111206,-1.294966817,6.618863583,96.94408417,43.52959824
1150.55125,-7.067472458,-1.084145188,6.334125042,95.49660492,43.74409103
1159.97125,-7.274472237,-1.109593153,6.369426727,93.22200775,43.70119095
1168.20125,-6.779624939,-0.997815132,7.290400982,95.49660492,43.85133743
1175.91875,-8.867516518,-0.872029245,7.774538517,94.25591278,43.74409103
1186.03375,-9.000845909,-1.494915485,5.93178463,95.49660492,43.52959824
1194.61625,NA,-1.287495971,6.990970135,97.97799683,42.4356842
1197.48625,-7.915031433,NA,NA,96.73730469,43.35799789
1209.11875,-12.18315411,-1.534526706,5.157962799,97.15086365,42.77887344
1217.86875,NA,-1.776709914,6.857142925,99.63225555,41.02003479
1220.61625,-16.06286621,NA,NA,99.01190948,41.49191666
1227.55625,-9.764434814,-1.857938051,8.645533562,102.7339935,39.36843872
1236.38125,-9.145864487,-1.436185598,6.798866749,100.4593887,40.99858093
1245.78125,-8.911833763,-1.43285203,6.382978916,97.56442261,42.30698776
1255.14875,-6.254725456,-1.391360044,6.405124187,94.46269989,43.01481247
1265.18375,-10.83832359,-1.046102881,5.979073048,91.56774139,43.89422989
1274.24875,-5.504319668,-1.637490034,6.618863583,88.87957001,42.92901993
1284.61625,-13.14947891,-0.951100528,5.787316322,79.3675766,43.50814438
1292.61625,-8.464414597,-1.753263831,7.5,74.19802094,42.47858047
1300.97375,-11.11672115,-1.179022431,7.179180622,71.71662903,42.54292679
1309.30125,-14.2545557,-1.542908311,7.205043316,69.44202423,42.52148056
1318.93375,-16.42781067,-2.288450241,6.228912354,63.23854828,40.46235275
1327.63875,-17.13366127,-2.383401394,6.892590523,54.34690094,39.58293152
1335.92625,-18.17528725,-2.366586924,7.23981905,55.79438019,40.26931
1343.60875,-20.22208405,-2.327194214,7.809957504,62.20463562,41.83510208
1351.13625,-21.4140625,-2.537029028,7.970773697,65.71993256,43.20785141
1358.44875,-18.49209023,-2.609838724,8.20512867,64.47924042,44.13017273
1367.30375,-20.55228233,-2.729124308,6.775832653,58.06898499,44.66640854
1374.80875,-21.67166138,-2.570747852,7.994670391,55.17403412,44.53770828
1382.26375,-27.08152199,-2.692703962,8.048289299,56.82829285,43.98003006
1389.42125,-23.85576439,-3.23059988,8.382815361,59.72324371,43.10061264
1397.14375,-23.64369011,-3.070435762,7.769504547,58.89611435,42.92901993
1404.69125,-26.49599838,-2.974179268,7.949652195,54.34690094,43.44379807
1411.45875,-28.59592628,-2.988528013,8.865902901,48.97055435,43.27220535
1418.32375,-29.85059166,-3.271850586,8.739985466,47.72986221,43.14351273
1424.90875,-33.53791046,-3.276102543,9.111617088,46.90273666,43.27220535
1431.06375,-32.39186478,-3.44043088,9.748171806,45.24847031,43.35799789
1437.61375,-37.87927628,-3.53611207,9.160305023,45.6620369,43.87278366
1443.09625,-36.73531342,-3.461218834,10.94391251,46.28238297,43.98003006
1448.79625,-36.62174606,-3.489854813,10.52631569,46.07560349,44.17307281
1454.44875,-39.87594986,-3.450073719,10.61477184,45.24847031,44.30176926
1459.73375,-41.87507629,-3.512406588,11.35288525,45.45524979,44.08727264
1465.17375,-40.21764374,-3.796673775,11.02941132,46.28238297,43.59394455
1470.16125,-41.01959229,-3.343091726,12.03007507,45.6620369,43.61539078
1475.37375,-43.14387894,-3.563576937,11.51079178,45.6620369,43.74409103
1480.62625,-45.53646469,-3.776887178,11.42313194,46.28238297,43.63684464
1485.59375,-44.38299179,-3.770039797,12.07851028,47.31629562,43.40089798
1490.51125,-44.48681259,-3.637556076,12.2013216,46.69594955,43.52959824
1495.36125,-43.0000267,-3.596017361,12.3711338,45.86881638,43.72263718
1500.37125,-42.77159882,-3.590502262,11.97604752,46.69594955,43.70119095
1505.37375,-40.02964401,-3.566082001,11.9940033,46.07560349,43.70119095
1510.41125,-40.07256317,-3.360821962,11.91067028,46.48916626,43.63684464
1515.80375,-39.41123581,-3.601521492,11.12656498,46.69594955,43.35799789
1521.08125,-42.36711884,-3.466546535,11.36901951,48.1434288,43.27220535
1526.09375,-43.15494156,-3.539419889,11.97007465,48.55699158,43.0362587
1530.87875,-40.27050781,-3.44160676,12.53918457,48.1434288,42.90756607
1536.02625,-36.92486954,-3.4548738,11.65614414,47.31629562,43.01481247
1541.65375,-38.40649033,-3.463244915,10.66192818,46.28238297,43.31510544
1547.08125,-41.17464066,-3.474187136,11.05481339,46.90273666,43.35799789
1552.48875,-41.93468857,-3.710864544,11.09570026,47.72986221,42.95046616
1557.46875,-34.23438263,-3.480579138,12.04819298,47.52307892,42.67161942
1563.09375,-41.87039948,-3.209473133,10.66666698,46.90273666,43.31510544
1567.93625,-40.42692566,-3.379290104,12.39029408,47.31629562,43.31510544
1572.85375,-36.59972382,-3.313323498,12.2013216,47.31629562,42.90756607
1578.27625,-38.47441864,-3.307699919,11.06500721,47.72986221,43.01481247
1583.43875,-36.85858536,-3.31040287,11.62227631,46.90273666,43.14351273
1588.73625,-38.38705444,-3.25430584,11.32609749,46.69594955,43.18640518
1593.83375,-35.82106018,-3.261300325,11.77047539,47.10951614,43.12206268
1599.19125,-38.00376129,-3.198522091,11.19925308,47.31629562,42.8217659
1604.33375,-39.35120392,-3.257239103,11.66747665,46.90273666,42.9719162
1609.48375,-39.73822021,-3.377645254,11.65048504,46.90273666,43.0362587
1614.48125,-42.27853012,-3.309862375,12.00600338,47.52307892,43.05771255
1619.30125,-37.92469025,-3.396375418,12.44813251,47.31629562,43.27220535
1624.29125,-37.62812805,-3.154070139,12.02404785,48.1434288,43.40089798
1629.22875,-34.97503281,-3.096481323,12.15189838,46.28238297,43.31510544
1634.40125,-37.06719208,-3.015139103,11.59980679,46.69594955,43.46524429
1639.47125,-40.4675293,-3.13217783,11.83431911,46.48916626,43.05771255
1644.57625,-41.10351944,-3.443112373,11.75318336,47.72986221,42.65017319
1649.71875,-41.12521744,-3.522914171,11.66747665,47.52307892,42.60728073
1654.80125,-43.36618423,-3.483648777,11.80521393,47.31629562,43.01481247
1659.47375,-45.23582077,-3.377141714,12.84109116,46.90273666,43.27220535
1664.18875,-45.62488174,-3.554781437,12.72534466,46.28238297,43.2507515
1668.61375,-41.82714844,-3.364835024,13.55932236,46.90273666,43.0791626
1673.24625,-42.34672546,-3.229404449,12.9519701,46.28238297,43.20785141
1677.77375,-42.4103241,-3.195413351,13.25234699,46.48916626,43.40089798
