Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3137.9164,0.7112,94.78890432,108,61.71875,79.72914133,83.9366684,7382.11084,87.625,13.3545
3138.6276,0.72365,94.78298599,112.34375,64.6875,84.27179394,82.91666412,6115.20752,73.75,12.549
3139.35125,1.06355,94.78653301,117.5,68.25,85.66057102,56.41337967,4682.310547,83.25,10.4913
3140.4148,1.0467,94.78891397,126.09375,66.03125,89.22560995,56.41337967,5323.225586,92.75,10.2282
3141.4615,1.0894,94.78028904,122.78125,68.5,87.95249469,57.32219315,5505.741211,100.09375,13.3907
3142.5509,1.0616,94.78189761,118.03125,67.21875,84.95112825,56.51671219,6096.52832,107.78125,12.4121
3143.6125,1.03605,94.96061966,114.3125,65.96875,82.05395161,57.91314316,7478.034668,129.125,13.5885
3144.64855,0.9611,95.79208719,109.25,63.46875,78.59859321,62.42904282,7283.869629,116.6875,14.2776
3145.60965,0.8754,95.79217358,100.03125,61.15625,74.14865547,62.42904282,7199.560059,104.9375,14.544
3146.48505,0.76655,95.7904817,103,60.5,75.95641384,78.27480316,7565.112793,96.65625,14.4578
3147.2516,0.7297,95.7882092,108.1875,63.15625,80.81388439,78.27480316,7320.523926,89.03125,14.3998
3147.9813,0.77045,95.78962984,112.8125,67.5,86.02097273,82.22420502,5706.124512,73.5625,13.5378
3148.75175,1.0632,95.78726222,118.96875,71.65625,88.39809814,77.87805176,4678.547852,82.75,11.2051
3149.81495,1.10575,95.78811327,125.53125,69.71875,91.42098511,56.433918,4886.88916,90.0625,11.4735
3150.9207,1.1521,95.78613781,126.5625,71.9375,92.15057528,52.07917023,5049.596191,96.96875,14.9154
3152.0728,1.08095,95.78853237,122.3125,70.71875,89.72697483,55.50559616,5658.518066,101.9375,14.1822
3153.15375,1.04425,95.79474653,116.84375,69.6875,85.96823139,55.50559616,6873.562012,119.6875,14.7768
3154.198,0.96775,95.80077822,111.25,67.4375,82.1978452,61.99897766,7397.25293,119.46875,15.0241
3155.16575,0.86175,95.80044241,101.03125,63.28125,76.53615046,69.62452698,7562.094238,108.40625,15.5377
3156.0275,0.74165,95.79939999,102.25,62.3125,77.10206672,80.90171051,7713.472656,95.34375,15.4446
3156.76915,0.72315,95.80096194,107.125,64.4375,81.41172803,80.90171051,7334.996582,87.96875,15.002
